Question,Option A,Option B,Option C,Correct Answer
Which is the largest continent by area?,Asia,Africa,Europe,Asia
Which continent is known as the �Dark Continent?,Africa,Asia,Europe,Africa
Which continent has the most countries?,Africa,Europe,Asia,Africa
Which continent is Australia part of?,Australia,Asia,Europe,Australia
Which continent is home to the Amazon rainforest?,South America,Africa,Asia,South America
Which continent is known for the Sahara Desert?,Africa,Asia,Australia,Africa
Which continent has the highest population?,Asia,Africa,Europe,Asia
Which continent is the coldest?,Antarctica,Europe,Asia,Antarctica
Which continent is the smallest by area?,Australia,Europe,South America,Australia
Which continent is home to the Himalayas?,Asia,Africa,Europe,Asia
Which continent is famous for kangaroos?,Australia,Africa,Europe,Australia
Which continent is crossed by the equator?,Africa,Europe,Asia,Africa
Which continent has the Andes Mountains?,South America,Africa,Asia,South America
Which continent is home to the Nile River?,Africa,Asia,Europe,Africa
Which continent is also called �Down Under�?,Australia,Asia,Europe,Australia
Which continent has the Gobi Desert?,Asia,Africa,South America,Asia
Which continent is home to the Great Barrier Reef?,Australia,Asia,Africa,Australia
Which continent is famous for the Eiffel Tower?,Europe,Africa,Asia,Europe
Which continent has the Great Victoria Desert?,Australia,Africa,Asia,Australia
Which continent is known for the Amazon River?,South America,Africa,Asia,South America
Which continent is home to the Serengeti National Park?,Africa,Asia,Europe,Africa
Which continent has the most islands?,Europe,Asia,Africa,Europe
Which continent is home to Mount Everest?,Asia,Africa,Europe,Asia
Which continent is home to the Outback?,Australia,Asia,Africa,Australia
Which continent is home to the Alps?,Europe,Africa,Asia,Europe
Which continent is surrounded by the Arctic Ocean?,Europe,Antarctica,Asia,Europe
Which continent is home to the Nile Delta?,Africa,Asia,Europe,Africa
Which continent is known for its ancient pyramids?,Africa,Europe,Asia,Africa
Which continent is home to the Amazon Basin?,South America,Africa,Asia,South America
Which continent is home to the Sahara Atlas Mountains?,Africa,Asia,Europe,Africa
Which continent is famous for the Great Wall?,Asia,Africa,Europe,Asia
Which continent is home to the Outback desert?,Australia,Africa,Asia,Australia
Which continent is known for the Rocky Mountains?,North America,Africa,Europe,North America
Which continent is home to the Amazon Rainforest?,South America,Africa,Asia,South America
Which continent is home to Mount Kilimanjaro?,Africa,Asia,Europe,Africa
Which continent is surrounded by the Indian Ocean?,Asia,Australia,Africa,Asia
Which continent is home to the Kalahari Desert?,Africa,Asia,Europe,Africa
Which continent is home to the Great Dividing Range?,Australia,Asia,Africa,Australia
Which continent is home to the Danube River?,Europe,Africa,Asia,Europe
Which continent is home to the Mississippi River?,North America,Africa,Asia,North America
Which continent is home to the Ural Mountains?,Europe,Asia,Africa,Europe
Which continent is home to the Andes Mountains?,South America,Africa,Asia,South America
Which continent is known for the Outback?,Australia,Asia,Africa,Australia
Which continent is home to the Dead Sea?,Asia,Europe,Africa,Asia
Which continent is home to the Ganges River?,Asia,Africa,Europe,Asia
Which continent is known for the Amazon River Basin?,South America,Africa,Asia,South America
Which continent is home to Madagascar?,Africa,Asia,Europe,Africa
Which continent is home to the Rocky Mountains?,North America,Africa,Europe,North America
Which continent is home to the Sahara Desert?,Africa,Asia,Europe,Africa
Which continent is home to the Himalayas?,Asia,Europe,Africa,Asia
Which continent is home to the Great Barrier Reef?,Australia,Africa,Asia,Australia
Which continent is home to the Nile River?,Africa,Asia,Europe,Africa
Which continent is home to the Amazon River?,South America,Africa,Asia,South America
Which continent is known for its deserts?,Africa,Europe,Asia,Africa
Which continent is home to the Alps?,Europe,Africa,Asia,Europe
Which continent is home to the Amazon Rainforest?,South America,Asia,Africa,South America
Which continent is known for its wildlife safaris?,Africa,Asia,Europe,Africa
