content_type,topic,item_type,title,explanation,expression,answer,image
theory,intro,definition,What is an integer?,An integer is a whole number. It can be positive like 5 or negative like -5. Zero is also an integer.,,,abacus.svg
theory,intro,rule,Positive and negative numbers,Positive numbers are greater than zero. Negative numbers are less than zero.,,,Line2.jpeg
example,addition,practice,Example 1,Start at 2 and move 3 steps right.,2 + 3,5,
example,addition,practice,Example 2,Adding a positive number increases the value.,4 + 1,5
example,addition,practice,Example 3,Keep moving right on the number line.,6 + 2,8
example,subtraction,practice,Example 4,Move two steps left.,7 - 2,5
example,subtraction,practice,Example 5,Subtract the smaller number.,5 - 3,2
example,subtraction,practice,Example 6,Simple subtraction.,6 - 4,2
example,subtraction,practice,Example 7,Move left four steps.,9 - 4,5
example,subtraction,practice,Example 8,Move left five steps.,9 - 5,4
example,multiplication,example,Multiplying integers,tells you how many items you have in total when you take the same amount several times.,,,apples.svg
example,multiplication,practice,Example 1,You have 2 equal groups with 3 in each group,2 * 3,6
example,multiplication,practice,Example 2,You have 2 equal groups with 4 in each group.,2 * 4,8
example,multiplication,practice,Example 3,You have 3 equal groups with 3 in each group.,3 * 3,9
example,division,example,Dividing integers,tells you how many are in each group or how many groups you can make.,,,sharing.svg
example,division,practice,Example 1,You are splitting 6 into 2 equal groups,6 / 2,3
example,division,practice,Example 2,You are splitting 8 into 4 equal groups,8 / 4,2
example,division,practice,Example 3,You are splitting 2 into 2 equal groups,2 / 2,1

