english,german,article,meanings,type
evening,Abend,der,evening,noun
dinner,Abendessen,das,dinner,noun
department,Abteilung,die,department,noun
address,Adresse,die,address,noun
analysis,Analyse,die,analysis,noun
view,Ansicht,die,view,noun
effort,Anstrengung,die,effort,noun
answer,Antwort,die,answer; reply,noun
lawyer,Anwalt,der,lawyer,noun
suit,Anzug,der,suit,noun
apple,Apfel,der,apple,noun
apricot,Aprikose,die,apricot,noun
april,April,der,april,noun
work,Arbeit,die,work; job; labor,noun
worker,Arbeiter,der,worker,noun
architect,Architekt,der,architect,noun
arm,Arm,der,arm,noun
army,Armee,die,army,noun
doctor,Arzt,der,doctor; physician,noun
attention,Aufmerksamkeit,die,attention,noun
record,Aufzeichnung,die,record,noun
eye,Auge,die,eye,noun
august,August,der,august,noun
car,Auto,das,car,noun
author,Autor,der,author,noun
baby,Baby,der,baby,noun
bathroom,Badezimmer,das,bathroom,noun
station,Bahnhof,der,station,noun
platform,Bahnsteig,der,platform,noun
banana,Banane,die,banana,noun
bank,Bank,der,bank,noun
battery,Batterie,die,battery,noun
belly,Bauch,der,belly,noun
farmer,Bauer,der,farmer,noun
farm,Bauernhof,der,farm,noun
tree,Baum,das,tree,noun
leg,Bein,der,leg,noun
example,Beispiel,der,example,noun
mountain,Berg,der,mountain,noun
report,Bericht,der,report,noun
meeting,Besprechung,die,meeting; discussion,noun
order,Bestellung,die,order,noun
amount,Betrag,der,amount,noun
bed,Bett,das,bed,noun
library,Bibliothek,der,library,noun
beer,Bier,der,beer,noun
screen,Bildschirm,der,screen,noun
education,Bildung,die,education,noun
pear,Birne,die,pear,noun
flower,Blume,die,flower,noun
blouse,Bluse,die,blouse,noun
blood,Blut,der,blood,noun
soil,Boden,der,soil,noun
boat,Boot,der,boat,noun
letter,Brief,der,letter (mail),noun
stamp,Briefmarke,die,stamp,noun
glasses,Brille,die,glasses,noun
bread,Brot,das,bread; loaf,noun
brother,Bruder,der,brother,noun
chest,Brust,der,chest,noun
bridge,Brücke,die,bridge,noun
book,Buch,das,book,noun
bus,Bus,der,bus,noun
butter,Butter,der,butter,noun
office,Büro,der,office,noun
chance,Chance,die,chance,noun
boss,Chef,der,boss,noun
computer,Computer,der,computer; PC,noun
file,Datei,der,file,noun
data,Daten,der,data,noun
thumb,Daumen,der,thumb,noun
ceiling,Decke,die,ceiling,noun
design,Design,der,design,noun
German,Deutsch,,German (language),noun
december,Dezember,der,december,noun
service,Dienst,der,service,noun
tuesday,Dienstag,der,tuesday,noun
thing,Ding,der,thing,noun
discussion,Diskussion,die,discussion,noun
thursday,Donnerstag,der,thursday,noun
village,Dorf,das,village,noun
printer,Drucker,der,printer,noun
email,E-Mail,die,email; e-mail message,noun
effect,Effekt,der,effect,noun
ambition,Ehrgeiz,der,ambition,noun
egg,Ei,der,egg,noun
attitude,Einstellung,die,attitude,noun
ice,Eis,der,ice,noun
elbow,Ellenbogen,der,elbow,noun
parent,Elternteil,der,parent,noun
energy,Energie,die,energy,noun
English,Englisch,,English (language),noun
distance,Entfernung,die,distance,noun
decision,Entscheidung,die,decision,noun
strawberry,Erdbeere,die,strawberry,noun
earth,Erde,die,earth,noun
experience,Erfahrung,die,experience,noun
success,Erfolg,der,success,noun
result,Ergebnis,der,result,noun
memory,Erinnerung,die,memory,noun
food,Essen,das,food; meal,noun
vinegar,Essig,der,vinegar,noun
factory,Fabrik,die,factory,noun
driver,Fahrer,der,driver,noun
bike,Fahrrad,das,bicycle; bike,noun
case,Fall,der,case,noun
family,Familie,die,family; relatives,noun
color,Farbe,die,color,noun
february,Februar,der,february,noun
field,Feld,der,field,noun
rock,Felsen,der,rock,noun
window,Fenster,das,window,noun
fire,Feuer,der,fire,noun
finger,Finger,der,finger,noun
company,Firma,das,company,noun
fish,Fisch,der,fish,noun
bottle,Flasche,die,bottle,noun
meat,Fleisch,der,meat,noun
flight,Flug,der,flight,noun
airport,Flughafen,der,airport,noun
river,Fluss,der,river,noun
photo,Foto,der,photo,noun
question,Frage,die,question,noun
woman,Frau,die,woman; wife; Mrs.,noun
friday,Freitag,der,friday,noun
friend,Freund,der,friend; boyfriend,noun
friend (female),Freundin,die,friend; girlfriend,noun
breakfast,Frühstück,der,breakfast,noun
foot,Fuss,der,foot,noun
floor,Fussboden,der,floor,noun
fork,Gabel,der,fork,noun
garden,Garten,der,garden,noun
area,Gebiet,der,area,noun
building,Gebäude,die,building,noun
danger,Gefahr,der,danger,noun
secret,Geheimnis,der,secret,noun
brain,Gehirn,der,brain,noun
money,Geld,das,money; cash,noun
wallet,Geldbörse,die,wallet,noun
opportunity,Gelegenheit,die,opportunity,noun
history,Geschichte,die,history,noun
store,Geschäft,das,store; shop; business,noun
society,Gesellschaft,die,society,noun
law,Gesetz,der,law,noun
habit,Gewohnheit,die,habit,noun
glass,Glas,der,glass,noun
reason,Grund,der,reason,noun
group,Gruppe,die,group,noun
cucumber,Gurke,die,cucumber,noun
belt,Gürtel,der,belt,noun
hair,Haar,der,hair,noun
neck,Hals,der,neck,noun
necklace,Halskette,die,necklace,noun
hand,Hand,der,hand,noun
gloves,Handschuhe,die,gloves,noun
phone,Handy,das,phone; mobile,noun
capital,Hauptstadt,der,capital,noun
house,Haus,das,house; home (building),noun
skin,Haut,der,skin,noun
shirt,Hemd,der,shirt,noun
heart,Herz,der,heart,noun
help,Hilfe,die,help; assistance,noun
sky,Himmel,der,sky,noun
honey,Honig,der,honey,noun
pants,Hose,die,pants,noun
hotel,Hotel,der,hotel,noun
dog,Hund,der,dog,noun
hat,Hut,der,hat,noun
chicken,Hähnchen,das,chicken,noun
idea,Idee,die,idea,noun
industry,Industrie,die,industry,noun
information,Information,die,information,noun
engineer,Ingenieur,die,engineer,noun
island,Insel,der,island,noun
interest,Interesse,die,interest,noun
internet,Internet,der,internet,noun
jacket,Jacke,die,jacket,noun
year,Jahr,das,year,noun
january,Januar,der,january,noun
jeans,Jeans,der,jeans,noun
job,Job,der,job; part-time job,noun
journalist,Journalist,der,journalist,noun
july,Juli,der,july,noun
boy,Junge,die,boy,noun
june,Juni,der,june,noun
coffee,Kaffee,der,coffee,noun
camera,Kamera,der,camera,noun
hoodie,Kapuzensweatshirt,der,hoodie,noun
carrot,Karotte,die,carrot,noun
map,Karte,die,map,noun
potato,Kartoffel,der,potato,noun
cat,Katze,die,cat,noun
cookie,Keks,der,cookie,noun
waiter,Kellner,der,waiter,noun
child,Kind,das,child; kid,noun
church,Kirche,die,church,noun
cherry,Kirsche,die,cherry,noun
