Question,Option A,Option B,Option C,Correct Answer
Which is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Pacific Ocean
Which river is the longest in the world?,Amazon,Nile,Mississippi,Nile
What is the name of the sea between Europe and Africa?,Mediterranean Sea,Red Sea,Black Sea,Mediterranean Sea
Which lake is the largest freshwater lake in the world?,Lake Superior,Lake Victoria,Lake Baikal,Lake Superior
What type of water is found in oceans?,Saltwater,Freshwater,Both,Saltwater
Which river flows through Egypt?,Nile,Amazon,Ganges,Nile
Which ocean is the coldest?,Atlantic Ocean,Arctic Ocean,Pacific Ocean,Arctic Ocean
Which lake is known as the deepest in the world?,Lake Baikal,Lake Tanganyika,Lake Superior,Lake Baikal
What is the largest river in South America?,Amazon,Nile,Mississippi,Amazon
Which sea is located near Saudi Arabia?,Red Sea,Black Sea,Adriatic Sea,Red Sea
Which ocean is between Africa and Australia?,Indian Ocean,Atlantic Ocean,Pacific Ocean,Indian Ocean
What is a large body of saltwater partially enclosed by land?,Sea,Lake,River,Sea
Which river flows through Brazil?,Amazon,Nile,Thames,Amazon
Which lake is in Canada and is very large?,Lake Superior,Lake Victoria,Lake Tanganyika,Lake Superior
What is freshwater?,Water without salt,Water with salt,All water,Water without salt
Which river flows through London?,Thames,Seine,Nile,Thames
Which ocean touches the North Pole?,Arctic Ocean,Pacific Ocean,Atlantic Ocean,Arctic Ocean
Which river is famous in Egypt for its delta?,Nile,Amazon,Ganges,Nile
Which sea is famous for high salt content?,Dead Sea,Red Sea,Baltic Sea,Dead Sea
Which ocean touches the west coast of the United States?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Pacific Ocean
Which lake is in Africa and is very large?,Lake Victoria,Lake Superior,Lake Baikal,Lake Victoria
What is a narrow body of water connecting two seas?,Strait,Lake,River,Strait
Which river flows through India?,Ganges,Nile,Mississippi,Ganges
Which is the smallest ocean on Earth?,Arctic Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean
Which lake is the largest in Africa?,Lake Victoria,Lake Baikal,Lake Superior,Lake Victoria
Which sea is located near Italy?,Adriatic Sea,Baltic Sea,Red Sea,Adriatic Sea
Which river flows through the United States?,Mississippi,Nile,Amazon,Mississippi
Which ocean touches the east coast of Africa?,Indian Ocean,Pacific Ocean,Atlantic Ocean,Indian Ocean
What is the name of the famous river in France?,Seine,Thames,Nile,Seine
Which lake is known for being very salty?,Great Salt Lake,Lake Superior,Lake Baikal,Great Salt Lake
Which river flows through Russia?,Volga,Nile,Amazon,Volga
Which ocean is the warmest?,Indian Ocean,Arctic Ocean,Atlantic Ocean,Indian Ocean
Which river flows through China?,Yangtze,Ganges,Nile,Yangtze
Which sea is between Sweden and Finland?,Baltic Sea,Red Sea,Dead Sea,Baltic Sea
Which lake is in Siberia and very deep?,Lake Baikal,Lake Victoria,Lake Tanganyika,Lake Baikal
Which river is famous for the Grand Canyon?,Colorado,Nile,Amazon,Colorado
Which ocean touches South America on the east?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Atlantic Ocean
Which sea is located in the Middle East?,Red Sea,Black Sea,Adriatic Sea,Red Sea
Which river flows through Paris?,Seine,Thames,Nile,Seine
Which lake is the largest in North America?,Lake Superior,Lake Victoria,Lake Baikal,Lake Superior
What is the difference between a lake and a sea?,Salt content,Lake is freshwater,Sea is saltwater,Sea is saltwater
Which river flows through Egypt and Sudan?,Nile,Amazon,Ganges,Nile
Which ocean is between Europe and America?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Atlantic Ocean
Which river flows through Russia and is the longest in Europe?,Volga,Nile,Amazon,Volga
Which lake is famous in Tanzania?,Lake Tanganyika,Lake Baikal,Lake Superior,Lake Tanganyika
Which sea is located between Saudi Arabia and Africa?,Red Sea,Mediterranean Sea,Black Sea,Red Sea
Which river flows through the United States and Canada?,Mississippi,Mekong,Thames,Mississippi
Which ocean touches the west coast of Africa?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Atlantic Ocean
Which lake is the deepest in Africa?,Lake Tanganyika,Lake Victoria,Lake Superior,Lake Tanganyika
Which river is famous in India and Bangladesh?,Ganges,Nile,Amazon,Ganges
Which ocean touches Australia on the west?,Indian Ocean,Pacific Ocean,Atlantic Ocean,Indian Ocean
Which lake is located in Russia and is the largest freshwater lake by volume?,Lake Baikal,Lake Victoria,Lake Superior,Lake Baikal
Which river flows through South America and is the largest by discharge?,Amazon,Nile,Mississippi,Amazon
Which sea is famous for being very salty and located in the Middle East?,Dead Sea,Red Sea,Baltic Sea,Dead Sea
