id,english,german,article_german,french,article_french,meanings,type,topic
1,evening,Abend,der,soir,le,evening,noun,Time
2,dinner,Abendessen,das,dîner,le,dinner,noun,Food & Drinks
3,department,Abteilung,die,département,le,department,noun,Work & Education
4,address,Adresse,die,adresse,l',address,noun,Communication
5,analysis,Analyse,die,analyse,l',analysis,noun,Work & Education
6,view,Ansicht,die,vue,la,view,noun,Communication
7,effort,Anstrengung,die,effort,l',effort,noun,Work & Education
8,answer,Antwort,die,réponse,la,answer; reply,noun,Communication
9,lawyer,Anwalt,der,avocat,l',lawyer,noun,People & Professions
10,suit,Anzug,der,costume,le,suit,noun,Clothing & Accessories
11,apple,Apfel,der,pomme,la,apple,noun,Food & Drinks
12,apricot,Aprikose,die,abricot,l',apricot,noun,Food & Drinks
13,april,April,der,avril,,april,noun,Time
14,work,Arbeit,die,travail,le,work; job; labor,noun,Work & Education
15,worker,Arbeiter,der,ouvrier,l',worker,noun,People & Professions
16,architect,Architekt,der,architecte,l',architect,noun,People & Professions
17,arm,Arm,der,bras,le,arm,noun,Body & Health
18,army,Armee,die,armée,l',army,noun,Society & Politics
19,doctor,Arzt,der,médecin,le,doctor; physician,noun,People & Professions
20,attention,Aufmerksamkeit,die,attention,l',attention,noun,Work & Education
21,record,Aufzeichnung,die,enregistrement,l',record,noun,Work & Education
22,eye,Auge,das,œil,l',eye,noun,Body & Health
23,august,August,der,août,,august,noun,Time
24,car,Auto,das,voiture,la,car,noun,City & Transport
25,author,Autor,der,auteur,l',author,noun,People & Professions
26,baby,Baby,das,bébé,le,baby,noun,People & Professions
27,bathroom,Badezimmer,das,salle de bain,la,bathroom,noun,Home
28,station,Bahnhof,der,gare,la,station,noun,City & Transport
29,platform,Bahnsteig,der,quai,le,platform,noun,City & Transport
30,banana,Banane,die,banane,la,banana,noun,Food & Drinks
31,bank,Bank,die,banque,la,bank,noun,Work & Education
32,battery,Batterie,die,batterie,la,battery,noun,Technology
33,belly,Bauch,der,ventre,le,belly,noun,Body & Health
34,farmer,Bauer,der,fermier,le,farmer,noun,People & Professions
35,farm,Bauernhof,der,ferme,la,farm,noun,City & Transport
36,tree,Baum,der,arbre,l',tree,noun,Nature & Weather
37,leg,Bein,das,jambe,la,leg,noun,Body & Health
38,example,Beispiel,das,exemple,l',example,noun,Work & Education
39,mountain,Berg,der,montagne,la,mountain,noun,Nature & Weather
40,report,Bericht,der,rapport,le,report,noun,Work & Education
41,meeting,Besprechung,die,réunion,la,meeting; discussion,noun,Work & Education
42,order,Bestellung,die,commande,la,order,noun,Work & Education
43,amount,Betrag,der,montant,le,amount,noun,Work & Education
44,bed,Bett,das,lit,le,bed,noun,Home
45,library,Bibliothek,die,bibliothèque,la,library,noun,City & Transport
46,beer,Bier,das,bière,la,beer,noun,Food & Drinks
47,screen,Bildschirm,der,écran,l',screen,noun,Technology
48,education,Bildung,die,éducation,l',education,noun,Work & Education
49,pear,Birne,die,poire,la,pear,noun,Food & Drinks
50,flower,Blume,die,fleur,la,flower,noun,Nature & Weather
51,blouse,Bluse,die,chemisier,le,blouse,noun,Clothing & Accessories
52,blood,Blut,das,sang,le,blood,noun,Body & Health
53,soil,Boden,der,sol,le,soil,noun,Nature & Weather
54,boat,Boot,das,bateau,le,boat,noun,City & Transport
55,letter,Brief,der,lettre,la,letter (mail),noun,Communication
56,stamp,Briefmarke,die,timbre,le,stamp,noun,Communication
57,glasses,Brille,die,lunettes,les,glasses,noun,Clothing & Accessories
58,bread,Brot,das,pain,le,bread; loaf,noun,Food & Drinks
59,brother,Bruder,der,frère,le,brother,noun,People & Professions
60,chest,Brust,die,poitrine,la,chest,noun,Body & Health
61,bridge,Brücke,die,pont,le,bridge,noun,City & Transport
62,book,Buch,das,livre,le,book,noun,Work & Education
63,bus,Bus,der,bus,le,bus,noun,City & Transport
64,butter,Butter,die,beurre,le,butter,noun,Food & Drinks
65,office,Büro,das,bureau,le,office,noun,Work & Education
66,chance,Chance,die,chance,la,chance,noun,Grammar & Connectors
67,boss,Chef,der,chef,le,boss,noun,Work & Education
68,computer,Computer,der,ordinateur,l',computer; PC,noun,Technology
69,file,Datei,die,fichier,le,file,noun,Technology
70,data,Daten,die,données,les,data,noun,Technology
71,thumb,Daumen,der,pouce,le,thumb,noun,Body & Health
72,ceiling,Decke,die,plafond,le,ceiling,noun,Home
73,design,Design,das,design,le,design,noun,Work & Education
74,German,Deutsch,das,allemand,l',German (language),noun,Work & Education
75,december,Dezember,der,décembre,,december,noun,Time
76,service,Dienst,der,service,le,service,noun,Work & Education
77,tuesday,Dienstag,der,mardi,,tuesday,noun,Time
78,thing,Ding,das,chose,la,thing,noun,Grammar & Connectors
79,discussion,Diskussion,die,discussion,la,discussion,noun,Communication
80,thursday,Donnerstag,der,jeudi,,thursday,noun,Time
81,village,Dorf,das,village,le,village,noun,City & Transport
82,printer,Drucker,der,imprimante,l',printer,noun,Technology
83,email,E-Mail,die,e-mail,l',email; e-mail message,noun,Technology
84,effect,Effekt,der,effet,l',effect,noun,Work & Education
85,ambition,Ehrgeiz,der,ambition,l',ambition,noun,Work & Education
86,egg,Ei,das,œuf,l',egg,noun,Food & Drinks
87,attitude,Einstellung,die,attitude,l',attitude,noun,Work & Education
88,ice,Eis,das,glace,la,ice,noun,Nature & Weather
89,elbow,Ellenbogen,der,coude,le,elbow,noun,Body & Health
90,parent,Elternteil,der,parent,le,parent,noun,People & Professions
91,energy,Energie,die,énergie,l',energy,noun,Technology
92,English,Englisch,,anglais,l',English (language),noun,Work & Education
93,distance,Entfernung,die,distance,la,distance,noun,Nature & Weather
94,decision,Entscheidung,die,décision,la,decision,noun,Work & Education
95,strawberry,Erdbeere,die,fraise,la,strawberry,noun,Food & Drinks
96,earth,Erde,die,terre,la,earth,noun,Nature & Weather
