content_type,topic,item_type,title,explanation,expression,answer
learning,fractions,intro,What is a fraction?,A fraction shows part of a whole. The bottom number (denominator) is how many equal pieces. The top number (numerator) is how many pieces you have.,,
learning,fractions,intro,Same denominator rule,"To add or subtract fractions, the denominators must be the same. Keep the denominator, and add or subtract only the numerators!",,
learning,fractions,intro,Multiply & Divide rule,"To multiply fractions, multiply top × top and bottom × bottom. To divide, flip the second fraction and then multiply.",,
learning,fractions,section,Adding and subtracting fractions,It is easy when they have the same denominator.,,
learning,fractions,example,➕ Example 1,"1/4 + 1/4 = 2/4 = 1/2 — same denominator, just add the tops.",1/4 + 1/4,1/2
learning,fractions,example,➕ Example 2,2/6 + 1/6 = 3/6 = 1/2 — three sixths is the same as one half!,2/6 + 1/6,1/2
learning,fractions,example,➕ Example 3,3/8 + 3/8 = 6/8 = 3/4 — always simplify by dividing by the common factor.,3/8 + 3/8,3/4
learning,fractions,example,➕ Example 4,1/3 + 1/3 = 2/3 — two thirds of a whole.,1/3 + 1/3,2/3
learning,fractions,example,➕ Example 5,4/10 + 3/10 = 7/10 — the denominator stays 10.,4/10 + 3/10,7/10
learning,fractions,example,➖ Example 6,"3/4 − 1/4 = 2/4 = 1/2 — subtract the tops, keep the bottom.",3/4 - 1/4,1/2
learning,fractions,example,➖ Example 7,5/6 − 2/6 = 3/6 = 1/2 — three sixths simplifies to one half.,5/6 - 2/6,1/2
learning,fractions,example,➖ Example 8,7/8 − 3/8 = 4/8 = 1/2 — divide both by 4 to simplify.,7/8 - 3/8,1/2
learning,fractions,example,➖ Example 9,4/5 − 1/5 = 3/5 — three fifths remaining.,4/5 - 1/5,3/5
learning,fractions,example,➖ Example 10,9/10 − 4/10 = 5/10 = 1/2 — five tenths is the same as one half.,9/10 - 4/10,1/2
learning,fractions,section,✖️ Multiplying fractions,Find a fraction of a fraction: multiply top × top and bottom × bottom.,,
learning,fractions,example,✖️ Example 1,1/2 × 1/2 = 1/4 — multiply tops: 1×1=1; bottoms: 2×2=4.,1/2 * 1/2,1/4
learning,fractions,example,✖️ Example 2,2/3 × 3/4 = 6/12 = 1/2 — simplify by dividing top and bottom by 6.,2/3 * 3/4,1/2
learning,fractions,example,✖️ Example 3,"3/4 × 2/3 = 6/12 = 1/2 — same as above, order does not matter!",3/4 * 2/3,1/2
learning,fractions,example,✖️ Example 4,1/3 × 1/3 = 1/9 — a third of a third is a ninth.,1/3 * 1/3,1/9
learning,fractions,example,✖️ Example 5,2/5 × 5/6 = 10/30 = 1/3 — simplify 10 and 30 by dividing by 10.,2/5 * 5/6,1/3
learning,fractions,section,➗ Dividing fractions,"Ask how many of the second fraction fit into the first one, then flip and multiply.",,
learning,fractions,example,➗ Example 6,1/2 ÷ 1/4 = 1/2 × 4/1 = 4/2 = 2 — flip the second fraction then multiply.,1/2 / 1/4,2
learning,fractions,example,➗ Example 7,3/4 ÷ 3/8 = 3/4 × 8/3 = 24/12 = 2 — the answer is 2 whole circles!,3/4 / 3/8,2
learning,fractions,example,➗ Example 8,2/3 ÷ 1/3 = 2/3 × 3/1 = 6/3 = 2 — how many thirds fit in two thirds? Two!,2/3 / 1/3,2
learning,fractions,example,➗ Example 9,5/6 ÷ 5/12 = 5/6 × 12/5 = 60/30 = 2 — flip and multiply.,5/6 / 5/12,2
learning,fractions,example,➗ Example 10,1/4 ÷ 1/8 = 1/4 × 8/1 = 8/4 = 2 — two eighths fit in every quarter.,1/4 / 1/8,2
