Question,Option A,Option B,Option C,Correct Answer
Which animal is known as the king of the jungle?,Lion,Elephant,Tiger,Lion
What do mammals have to feed their babies?,Gills,Milk,Scales,Milk
Which animal lays eggs?,Frog,Dog,Cat,Frog
Which animal can fly?,Ostrich,Eagle,Penguin,Eagle
What do bees make?,Honey,Milk,Silk,Honey
Which animal is the largest on Earth?,Elephant,Blue Whale,Giraffe,Blue Whale
Which animal is known for changing colors?,Chameleon,Frog,Lizard,Chameleon
Which animal has a trunk?,Elephant,Lion,Monkey,Elephant
Which animal lives in water?,Shark,Lion,Dog,Shark
What do herbivores eat?,Meat,Plants,Both,Plants
Which animal is a marsupial?,Kangaroo,Lion,Tiger,Kangaroo
Which animal is known for its stripes?,Zebra,Elephant,Lion,Zebra
Which animal is the fastest land animal?,Cheetah,Lion,Elephant,Cheetah
Which animal is nocturnal?,Owl,Chicken,Elephant,Owl
Which animal is a reptile?,Snake,Dog,Horse,Snake
Which animal uses echolocation?,Bat,Lion,Frog,Bat
Which animal is known for its long neck?,Giraffe,Lion,Monkey,Giraffe
Which animal can live both in water and on land?,Frog,Lion,Elephant,Frog
Which animal is a carnivore?,Tiger,Cow,Sheep,Tiger
Which animal is a predator in the ocean?,Shark,Dolphin,Seal,Shark
Which animal carries its babies in a pouch?,Kangaroo,Elephant,Lion,Kangaroo
Which animal is known for its shell?,Turtle,Lion,Frog,Turtle
Which animal can hop?,Kangaroo,Elephant,Lion,Kangaroo
Which animal has sharp quills?,Porcupine,Lion,Elephant,Porcupine
Which animal is famous for its memory?,Elephant,Dog,Cat,Elephant
Which animal can live in cold places?,Penguin,Lion,Elephant,Penguin
Which animal is the tallest?,Giraffe,Lion,Elephant,Giraffe
Which animal can imitate sounds?,Parrot,Lion,Dog,Parrot
Which animal has a pouch?,Kangaroo,Monkey,Lion,Kangaroo
Which animal is a marine mammal?,Dolphin,Shark,Crocodile,Dolphin
Which animal has antlers?,Deer,Lion,Elephant,Deer
Which animal is known for building dams?,Beaver,Lion,Tiger,Beaver
Which animal is venomous?,Snake,Elephant,Lion,Snake
Which animal hibernates?,Bear,Lion,Giraffe,Bear
Which animal is an amphibian?,Frog,Lion,Elephant,Frog
Which animal is covered with feathers?,Parrot,Lion,Elephant,Parrot
Which animal is a herbivore?,Cow,Lion,Tiger,Cow
Which animal can run the fastest?,Cheetah,Elephant,Lion,Cheetah
Which animal has a long sticky tongue to catch insects?,Chameleon,Lion,Elephant,Chameleon
Which animal is known for living in a colony?,Ant,Lion,Elephant,Ant
Which animal has scales?,Snake,Dog,Lion,Snake
Which animal is a nocturnal predator?,Owl,Cow,Elephant,Owl
Which animal can regenerate its limbs?,Starfish,Lion,Elephant,Starfish
Which animal uses camouflage to hide?,Chameleon,Lion,Elephant,Chameleon
Which animal migrates thousands of kilometers?,Butterfly,Dog,Lion,Butterfly
Which animal is known as man’s best friend?,Dog,Lion,Elephant,Dog
Which animal makes webs?,Spider,Lion,Elephant,Spider
Which animal lays the biggest eggs?,Ostrich,Lion,Elephant,Ostrich
Which animal lives in the Arctic?,Polar Bear,Lion,Elephant,Polar Bear
Which animal has a pouch and jumps?,Kangaroo,Lion,Elephant,Kangaroo
Which animal can see in the dark?,Owl,Lion,Elephant,Owl
Which animal is a predator on land?,Lion,Sheep,Cow,Lion
Which animal is famous for its speed in water?,Dolphin,Elephant,Lion,Dolphin
