Question,Option A,Option B,Option C,Correct Answer
Which country is known for the Eiffel Tower?,France,Italy,Spain,France
Which country has the Great Wall?,China,Japan,India,China
Which country is famous for kangaroos?,Australia,South Africa,Brazil,Australia
Which country is known as the Land of the Rising Sun?,Japan,China,Thailand,Japan
Which country is famous for pizza?,Italy,France,Greece,Italy
Which country has the largest population?,China,India,USA,China
Which country is home to the Amazon rainforest?,Brazil,Argentina,Peru,Brazil
Which country is known for the Pyramids?,Egypt,Turkey,Greece,Egypt
Which country is an island nation in Europe?,United Kingdom,France,Spain,United Kingdom
Which country has the city of Moscow?,Russia,Poland,Germany,Russia
Which country is famous for maple syrup?,Canada,USA,Mexico,Canada
Which country is home to Mount Everest?,Nepal,India,China,Nepal
Which country is known for its tulips?,Netherlands,Germany,Denmark,Netherlands
Which country is famous for the Taj Mahal?,India,Pakistan,Bangladesh,India
Which country is an island nation in the Caribbean?,Cuba,Jamaica,Haiti,Cuba
Which country has the Sahara Desert?,Algeria,Egypt,Morocco,Algeria
Which country is known for the Colosseum?,Italy,Greece,Turkey,Italy
Which country has the city of Rio de Janeiro?,Brazil,Argentina,Chile,Brazil
Which country is famous for sushi?,Japan,China,South Korea,Japan
Which country is known for kangaroos and koalas?,Australia,New Zealand,South Africa,Australia
Which country has the city of Cairo?,Egypt,Morocco,South Africa,Egypt
Which country is known for Oktoberfest?,Germany,Austria,Switzerland,Germany
Which country is famous for its fjords?,Norway,Sweden,Finland,Norway
Which country has the city of Paris?,France,Italy,Spain,France
Which country is known for chocolate and watches?,Switzerland,Germany,Belgium,Switzerland
Which country is famous for soccer and carnivals?,Brazil,Argentina,Mexico,Brazil
Which country has the Great Barrier Reef?,Australia,USA,South Africa,Australia
Which country is known for ancient Mayan ruins?,Mexico,Peru,Brazil,Mexico
Which country has the city of Istanbul?,Turkey,Greece,Italy,Turkey
Which country is famous for the Kremlin?,Russia,Poland,Ukraine,Russia
Which country has the city of Berlin?,Germany,Austria,Switzerland,Germany
Which country is famous for castles and bagpipes?,Scotland,Ireland,England,Scotland
Which country has the city of Bangkok?,Thailand,Malaysia,Indonesia,Thailand
Which country is known for Mount Kilimanjaro?,Tanzania,Kenya,Uganda,Tanzania
Which country is home to the Sahara Atlas Mountains?,Morocco,Algeria,Tunisia,Morocco
Which country is famous for fjords and northern lights?,Norway,Sweden,Finland,Norway
Which country is known for Mount Fuji?,Japan,China,South Korea,Japan
Which country has the city of Madrid?,Spain,Portugal,Italy,Spain
Which country is known for samba and carnivals?,Brazil,Argentina,Chile,Brazil
Which country has the city of Athens?,Greece,Italy,Turkey,Greece
Which country is famous for tea and Buckingham Palace?,United Kingdom,India,Sri Lanka,United Kingdom
Which country is home to the Andes Mountains?,Peru,Chile,Brazil,Peru
Which country is known for its kangaroos?,Australia,New Zealand,South Africa,Australia
Which country has the city of Buenos Aires?,Argentina,Brazil,Uruguay,Argentina
Which country is known for the Parthenon?,Greece,Italy,Turkey,Greece
Which country has the city of Lisbon?,Portugal,Spain,Italy,Portugal
Which country is famous for its pyramids?,Egypt,Mexico,Peru,Egypt
Which country has the city of New Delhi?,India,Pakistan,Bangladesh,India
Which country is known for maple syrup?,Canada,USA,Finland,Canada
Which country has the city of Cape Town?,South Africa,Nigeria,Egypt,South Africa
Which country is home to the Outback?,Australia,USA,South Africa,Australia
Which country has the city of Rome?,Italy,France,Spain,Italy
Which country is known for Mount Everest?,Nepal,India,China,Nepal
Which country is famous for Venice?,Italy,France,Spain,Italy
Which country has the city of Rio de Janeiro?,Brazil,Argentina,Chile,Brazil
Which country is famous for its fjords?,Norway,Sweden,Finland,Norway
Which country is home to the Amazon Rainforest?,Brazil,Peru,Colombia,Brazil
Which country has the city of Moscow?,Russia,Ukraine,Belarus,Russia
Which country is known for sushi?,Japan,China,South Korea,Japan
