Question,Option A,Option B,Option C,Correct Answer
What is the largest organ in the human body?,Heart,Skin,Liver,Skin
How many bones are in the human body?,206,208,201,206
Which organ pumps blood around the body?,Heart,Brain,Lungs,Heart
What part of the body helps you breathe?,Lungs,Liver,Kidneys,Lungs
Which system includes the brain and spinal cord?,Digestive,Nervous,Circulatory,Nervous
Which blood cells help fight infection?,Red blood cells,White blood cells,Platelets,White blood cells
What connects muscles to bones?,Ligaments,Tendons,Cartilage,Tendons
Which organ filters waste from the blood?,Liver,Kidneys,Stomach,Kidneys
What part of the eye helps you see color?,Cornea,Pupil,Retina,Retina
Which system helps you move?,Nervous,Skeletal,Muscular,Muscular
What is the main function of the lungs?,Digest food,Filter blood,Exchange gases,Exchange gases
Which organ produces insulin?,Liver,Pancreas,Heart,Pancreas
What is the largest bone in the human body?,Femur,Tibia,Humerus,Femur
Which part of the brain controls balance?,Cerebrum,Cerebellum,Medulla,Cerebellum
What part of the blood carries oxygen?,White blood cells,Red blood cells,Platelets,Red blood cells
Which system controls hormones?,Nervous,Endocrine,Respiratory,Endocrine
Which organ stores bile?,Liver,Gallbladder,Stomach,Gallbladder
What protects the brain?,Skull,Rib cage,Spine,Skull
Which part of the digestive system absorbs most nutrients?,Stomach,Small intestine,Large intestine,Small intestine
What is the main function of the heart?,Pump blood,Filter waste,Store nutrients,Pump blood
Which organ breaks down toxins?,Liver,Kidneys,Lungs,Liver
What part of the cell contains DNA?,Cytoplasm,Nucleus,Membrane,Nucleus
Which sense allows you to taste?,Sight,Touch,Taste buds,Taste buds
What part of the body protects internal organs?,Muscles,Bones,Skin,Bones
Which system helps fight germs?,Digestive,Circulatory,Immune,Immune
What is the function of platelets?,Carry oxygen,Help clot blood,Fight infection,Help clot blood
Which part of the ear helps you hear?,Cochlea,Tympanic membrane,Auditory nerve,All of the above
Which organ stores urine?,Bladder,Liver,Kidneys,Bladder
Which type of joint is in the shoulder?,Hinge,Ball and socket,Pivot,Ball and socket
Which organ helps digest food by producing acids?,Stomach,Pancreas,Liver,Stomach
What part of the body senses pain?,Skin,Nerves,Muscles,Nerves
Which organ carries oxygen-rich blood to the body?,Lungs,Heart,Arteries,Arteries
What is the smallest bone in the body?,Stapes,Humerus,Femur,Stapes
Which system controls the body’s response to danger?,Nervous,Immune,Circulatory,Nervous
What part of the body makes new blood cells?,Bone marrow,Liver,Kidneys,Bone marrow
Which organ helps you smell?,Nose,Tongue,Ears,Nose
Which system transports nutrients and oxygen?,Digestive,Circulatory,Muscular,Circulatory
What part of the body protects against infection?,Skin,Bones,Muscles,Skin
Which part of the body stores fat?,Liver,Muscles,Adipose tissue,Adipose tissue
Which organ regulates body temperature?,Skin,Brain,Heart,Brain
Which system includes the lungs and trachea?,Circulatory,Respiratory,Muscular,Respiratory
What is the main function of red blood cells?,Carry oxygen,Clot blood,Digest nutrients,Carry oxygen
Which organ removes waste through urine?,Kidneys,Liver,Lungs,Kidneys
What part of the brain controls thinking and memory?,Cerebellum,Cerebrum,Medulla,Cerebrum
Which organ makes bile?,Liver,Pancreas,Stomach,Liver
Which system helps move nutrients from food to blood?,Digestive,Circulatory,Respiratory,Digestive
Which part of the body senses touch?,Skin,Eyes,Tongue,Skin
Which system includes muscles and bones?,Muscular,Skeletal,Nervous,Muscular and skeletal
What part of the body helps you balance?,Cerebellum,Cerebrum,Medulla,Cerebellum
Which organ helps break down sugar?,Pancreas,Liver,Stomach,Pancreas
Which organ stores and releases energy?,Liver,Muscles,Fat,Liver
Which system protects the body from disease?,Immune,Respiratory,Digestive,Immune
