Question,Option A,Option B,Option C,Correct Answer
Which part of the plant absorbs water from the soil?,Stem,Roots,Leaves,Roots
What part of the plant makes food through photosynthesis?,Leaves,Roots,Flowers,Leaves
Which gas do plants take in for photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Carbon dioxide
What part of the plant holds it upright?,Stem,Root,Leaf,Stem
Which part of the plant carries water and nutrients?,Leaves,Stem,Roots,Stem
Which part of the plant is usually colorful and attracts pollinators?,Flower,Leaf,Stem,Flower
What do plants produce to make new plants?,Seeds,Leaves,Roots,Seeds
Which part of the plant grows underground?,Stem,Roots,Flowers,Roots
What do plants release during photosynthesis?,Oxygen,Carbon dioxide,Water,Oxygen
Which pigment gives leaves their green color?,Chlorophyll,Carotene,Xanthophyll,Chlorophyll
Which part of the plant holds soil and prevents erosion?,Roots,Stem,Leaves,Roots
What is the male part of a flower called?,Stamen,Pistil,Petal,Stamen
What is the female part of a flower called?,Pistil,Stamen,Sepal,Pistil
Which part protects a young leaf or bud?,Sepal,Petal,Stamen,Sepal
Which process allows water to move up from roots to leaves?,Photosynthesis,Transpiration,Pollination,Transpiration
Which structure transports food in a plant?,Xylem,Phloem,Stomata,Phloem
Which structure transports water in a plant?,Xylem,Phloem,Stomata,Xylem
Which part of the plant takes in sunlight?,Leaf,Root,Flower,Leaf
Which process produces seeds in flowering plants?,Germination,Pollination,Respiration,Pollination
What do plants need to make food?,Sunlight, Water, Carbon dioxide,Sunlight
Which part of the plant can store food?,Roots,Leaves,Stem,Roots
What is the term for a plant growing towards light?,Phototropism,Hydrotropism,Geotropism,Phototropism
Which part of the plant is usually green?,Roots,Leaves,Flowers,Leaves
What helps pollen move from one flower to another?,Wind or insects,Roots,Stem,Wind or insects
Which part of the seed becomes the root?,Radicle,Cotyledon,Seed coat,Radicle
Which part of the seed becomes the shoot?,Radicle,Plumule,Cotyledon,Plumule
What is the outer covering of a seed called?,Seed coat,Cotyledon,Endosperm,Seed coat
What is the first stage of a seed growing into a plant?,Germination,Photosynthesis,Pollination,Germination
Which gas is released by plants at night?,Oxygen,Carbon dioxide,Nitrogen,Carbon dioxide
Which process is used by plants to make their food?,Photosynthesis,Respiration,Transpiration,Photosynthesis
Which part of the plant produces pollen?,Stamen,Pistil,Petal,Stamen
Which part of the plant receives pollen?,Pistil,Stamen,Sepal,Pistil
What is the function of a leaf?,Make food,Store water,Absorb minerals,Make food
What is the function of the root?,Absorb water,Make food,Produce flowers,Absorb water
Which part of the plant supports the leaves and flowers?,Stem,Roots,Flowers,Stem
Which part of the plant can perform photosynthesis?,Leaf,Root,Stem,Leaf
Which process allows a seed to grow into a plant?,Germination,Transpiration,Pollination,Germination
Which part of a plant is used for reproduction?,Flower,Stem,Roots,Flower
Which plant structure carries food to different parts of the plant?,Phloem,Xylem,Stomata,Phloem
Which plant structure carries water to different parts of the plant?,Xylem,Phloem,Stomata,Xylem
Which process allows water to leave the leaves?,Transpiration,Photosynthesis,Pollination,Transpiration
Which part of the plant protects the flower before it blooms?,Sepal,Petal,Stamen,Sepal
Which part of the plant is often brightly colored?,Petal,Leaf,Root,Petal
Which process allows plants to make food using sunlight?,Photosynthesis,Respiration,Germination,Photosynthesis
What part of the plant stores food?,Cotyledon,Root,Flower,Cotyledon
Which type of plants have cones instead of flowers?,Gymnosperms,Angiosperms,Ferns,Gymnosperms
Which type of plants produce flowers?,Angiosperms,Gymnosperms,Ferns,Angiosperms
What is the term for plants that live for many years?,Perennials,Annuals,Biennials,Perennials
What is the term for plants that live for only one year?,Annuals,Perennials,Biennials,Annuals
What is the term for plants that live for two years?,Biennials,Annuals,Perennials,Biennials
Which structure allows gas exchange in leaves?,Stomata,Xylem,Phloem,Stomata
Which part of the plant carries out photosynthesis?,Leaf,Stem,Root,Leaf
